Date,Emerging Markets Equal Weighted Currency Index,Emerging Markets Equal Weighted Index Equity Index (Local Currency),MSCI Emerging Markets Equity Index (USD),S&P 500,Dax,MSCI Europe Financials Index,J.P. Morgan Emerging Markets Bond Index , IBoxx US Investment Grade Corporate Bond Index , IBoxx US High Yield Corporate Bond Index,Emerging Markets -US 10 Year Bond  Average Spread,US 10 Year Treasury Yield,Crude Oil WTI,Gold ,London Metal Exchange Index,US Dollar Index
8/6/2013,0.001581487,0.004347363,-0.001081464,0.006827007,0.002903178,0.015964941,-0.000503331,-0.000921771,-0.003595622,-0.041730787,0.020995745,0.002524218,-0.022279514,0.01045803,0.001823243
8/12/2013,0.001478528,0.013043753,0.012762012,-0.004710908,0.007184222,0.021391676,0.002398463,0.001494198,-0.000101301,0.011806896,-0.007551334,0.007741551,0.040165179,0.041937098,-0.003214222
8/16/2013,-0.008180651,0.000418591,0.000829922,-0.019924988,0.004052959,0.008121398,-0.013040992,-0.018883559,-0.003896351,-0.007118718,0.077533864,0.012746706,0.027741141,0.024756219,-0.00083614
8/22/2013,-0.0108966,-0.024117677,-0.037117777,0.000621863,0.000670768,-0.02133408,-0.017794245,-0.002707889,-0.005887182,0.030278057,0.023787166,-0.022668686,-0.000322632,-0.017900116,0.002783567
8/28/2013,-0.006528688,-0.020230885,-0.01326764,-0.013356999,-0.02850816,-0.028068387,-0.001715058,0.010901903,0.00280225,0.074583337,-0.043911826,0.048263192,0.034942426,-0.007320503,-0.000710531
9/4/2013,0.000790076,0.013528423,0.031340757,0.01111274,0.004690087,0.002342121,-0.00380198,-0.0038257,0.002300599,-0.04785533,0.047740976,-0.026088468,-0.02055548,-0.0281612,0.009111339
9/10/2013,0.010922035,0.037679414,0.058292887,0.018695707,0.030626877,0.044567948,0.00498896,-0.00581991,0.000497267,-0.038683377,0.023810184,0.00151764,-0.018583614,0.00593407,-0.00423331
9/16/2013,0.007005006,0.010495339,0.010833079,0.008102237,0.019699307,0.016397383,0.016181818,0.005005926,0.006915394,-0.03077079,-0.035100628,-0.007440338,-0.033787798,-0.006702846,-0.006388197
9/20/2013,0.011278909,0.010619478,0.011694924,0.007316352,0.007189264,0.009548198,0.023059402,0.012656186,0.008615939,-0.013445695,-0.043953022,-0.017959935,0.011095703,0.019500443,-0.010806774
9/26/2013,-0.007181151,-0.005696325,-0.009786145,-0.006502991,-0.001415868,-0.01030267,-0.00439958,0.004696484,-0.002697311,0.061020388,-0.032097295,-0.015755801,-0.006675719,-2.49733E-05,0.001092509
10/2/2013,0.004401517,-0.003981101,-0.004910069,-0.002854494,-0.004005774,0.012103128,-0.002604465,0.000694584,-0.001302658,0.011315513,-0.010938773,0.010433969,-0.002229856,0.001131195,-0.007779212
10/8/2013,0.000497199,0.000494371,0.011319396,-0.022618706,-0.008589299,-0.009504398,0.006816326,0.001994341,0.004205833,-0.015227548,0.007274059,-0.005865393,0.00271817,0.001944207,0.001984668
10/14/2013,0.004499531,0.011924242,0.013813035,0.033072585,0.01967492,0.032554471,0.007319482,-0.001104981,0.00330308,-0.039921471,0.038689673,-0.010460494,-0.036215426,0.006746279,0.002493187
10/18/2013,0.006195988,0.011025907,0.01932268,0.019933004,0.016150797,0.035133831,0.011539115,0.012445957,0.009932676,0.015198289,-0.057361951,-0.015531082,0.029691518,-0.002818578,-0.007626787
10/24/2013,0.000878614,-1.21115E-05,-0.010804236,0.004376849,0.012914573,0.007034525,0.004899011,0.004184222,0.004707675,-0.000902257,-0.024386918,-0.036689156,0.027264886,-0.001621826,-0.005800607
10/30/2013,-0.002501068,0.002994862,0.011618086,0.006382117,0.00329258,-0.014147332,-0.002800687,0.000198809,0.00250166,0.001226097,0.007179204,-0.003577913,-0.000917357,0.015669304,0.007414738
11/5/2013,-0.01424371,-0.007680944,-0.025086154,-0.00012182,-0.000117828,-0.025227546,-0.013441778,-0.006890611,-0.00219877,0.022704016,0.051892992,-0.035135215,-0.030353283,-0.023744514,0.011628237
